Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Spain,48,Good,1,Good,23,Good,3,Good,48,Good
Papua New Guinea,28,Good,0,Good,28,Good,0,Good,13,Good
Germany,50,Good,1,Good,29,Good,3,Good,50,Good
Madagascar,26,Good,0,Good,26,Good,0,Good,20,Good
China,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate
Madagascar,22,Good,0,Good,22,Good,0,Good,20,Good
United States of America,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
Lithuania,47,Good,1,Good,32,Good,0,Good,47,Good
Ghana,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups
Mexico,60,Moderate,1,Good,16,Good,5,Good,60,Moderate
Brazil,32,Good,1,Good,3,Good,2,Good,32,Good
Russian Federation,28,Good,1,Good,28,Good,1,Good,15,Good
France,34,Good,0,Good,28,Good,2,Good,34,Good
Russian Federation,28,Good,1,Good,28,Good,1,Good,19,Good
Azerbaijan,48,Good,1,Good,35,Good,0,Good,48,Good
Armenia,39,Good,1,Good,29,Good,1,Good,39,Good
Ethiopia,97,Moderate,1,Good,14,Good,0,Good,97,Moderate
Iran (Islamic Republic of),75,Moderate,1,Good,37,Good,0,Good,75,Moderate
India,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy
Guatemala,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups
Italy,57,Moderate,1,Good,40,Good,3,Good,57,Moderate
Ukraine,41,Good,1,Good,41,Good,3,Good,27,Good
Portugal,37,Good,1,Good,16,Good,7,Good,37,Good
Malaysia,59,Moderate,1,Good,34,Good,0,Good,59,Moderate
United Kingdom of Great Britain and Northern Ireland,29,Good,1,Good,29,Good,2,Good,20,Good
Netherlands,34,Good,0,Good,34,Good,1,Good,26,Good
Serbia,70,Moderate,1,Good,41,Good,0,Good,70,Moderate
Germany,32,Good,0,Good,30,Good,1,Good,32,Good
Pakistan,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
South Africa,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous
South Africa,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy
Thailand,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
Malaysia,76,Moderate,1,Good,39,Good,0,Good,76,Moderate
Philippines,27,Good,0,Good,23,Good,0,Good,27,Good
Slovakia,59,Moderate,1,Good,26,Good,2,Good,59,Moderate
Germany,38,Good,0,Good,28,Good,2,Good,38,Good
United States of America,56,Moderate,1,Good,23,Good,6,Good,56,Moderate
Gambia,127,Unhealthy for Sensitive Groups,1,Good,18,Good,0,Good,127,Unhealthy for Sensitive Groups
Pakistan,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate
Malaysia,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate
India,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy
Italy,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups
Italy,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate
Philippines,68,Moderate,1,Good,26,Good,0,Good,68,Moderate
Ecuador,39,Good,1,Good,4,Good,2,Good,39,Good
Bosnia and Herzegovina,50,Good,1,Good,33,Good,0,Good,50,Good
Italy,103,Unhealthy for Sensitive Groups,1,Good,33,Good,6,Good,103,Unhealthy for Sensitive Groups
Italy,38,Good,1,Good,36,Good,5,Good,38,Good
Czechia,61,Moderate,1,Good,38,Good,1,Good,61,Moderate
Argentina,17,Good,0,Good,17,Good,1,Good,17,Good
Peru,21,Good,0,Good,4,Good,0,Good,21,Good
France,32,Good,1,Good,32,Good,1,Good,20,Good
China,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy
Viet Nam,57,Moderate,1,Good,32,Good,0,Good,57,Moderate
Russian Federation,38,Good,1,Good,38,Good,0,Good,35,Good
Russian Federation,49,Good,1,Good,40,Good,0,Good,49,Good
India,171,Unhealthy,1,Good,42,Good,0,Good,171,Unhealthy
India,91,Moderate,1,Good,28,Good,1,Good,91,Moderate
Mexico,72,Moderate,2,Good,4,Good,5,Good,72,Moderate
India,153,Unhealthy,2,Good,22,Good,6,Good,153,Unhealthy
Poland,59,Moderate,1,Good,25,Good,2,Good,59,Moderate
India,157,Unhealthy,0,Good,31,Good,1,Good,157,Unhealthy
United States of America,73,Moderate,1,Good,32,Good,2,Good,73,Moderate
Brazil,71,Moderate,2,Good,3,Good,6,Good,71,Moderate
Brazil,17,Good,0,Good,17,Good,0,Good,11,Good
Brazil,46,Good,1,Good,2,Good,0,Good,46,Good
United Kingdom of Great Britain and Northern Ireland,35,Good,1,Good,12,Good,9,Good,35,Good
Ireland,24,Good,0,Good,24,Good,1,Good,16,Good
Brazil,45,Good,1,Good,14,Good,2,Good,45,Good
Romania,61,Moderate,1,Good,40,Good,0,Good,61,Moderate
Dominican Republic,65,Moderate,1,Good,12,Good,6,Good,65,Moderate
Italy,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups
Brazil,19,Good,0,Good,19,Good,0,Good,11,Good
United Kingdom of Great Britain and Northern Ireland,31,Good,0,Good,31,Good,2,Good,22,Good
United States of America,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
United States of America,31,Good,1,Good,21,Good,1,Good,31,Good
Brazil,37,Good,1,Good,12,Good,1,Good,37,Good
Argentina,13,Good,1,Good,12,Good,0,Good,13,Good
Mexico,41,Good,1,Good,8,Good,3,Good,41,Good
Italy,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups
Azerbaijan,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
Spain,30,Good,0,Good,30,Good,2,Good,13,Good
India,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
Brazil,42,Good,1,Good,2,Good,4,Good,42,Good
Germany,35,Good,0,Good,35,Good,0,Good,30,Good
United States of America,46,Good,1,Good,25,Good,5,Good,46,Good
Poland,93,Moderate,1,Good,27,Good,4,Good,93,Moderate
Guinea,63,Moderate,2,Good,13,Good,0,Good,63,Moderate
Pakistan,160,Unhealthy,0,Good,39,Good,0,Good,160,Unhealthy
France,39,Good,1,Good,26,Good,1,Good,39,Good
United States of America,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
Ghana,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups
China,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate
Brazil,45,Good,0,Good,22,Good,0,Good,45,Good
Bolivia (Plurinational State of),54,Moderate,1,Good,8,Good,1,Good,54,Moderate
Germany,36,Good,0,Good,29,Good,2,Good,36,Good
United States of America,50,Good,1,Good,35,Good,5,Good,50,Good
India,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
United States of America,48,Good,1,Good,36,Good,5,Good,48,Good
Russian Federation,24,Good,0,Good,24,Good,0,Good,24,Good
