Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,45,Good,1,Good,26,Good,3,Good,45,Good
United States of America,67,Moderate,2,Good,26,Good,10,Good,67,Moderate
India,216,Very Unhealthy,4,Good,96,Moderate,5,Good,216,Very Unhealthy
Germany,35,Good,1,Good,22,Good,4,Good,35,Good
France,43,Good,1,Good,23,Good,2,Good,43,Good
United States of America,40,Good,1,Good,24,Good,7,Good,40,Good
United Kingdom of Great Britain and Northern Ireland,36,Good,1,Good,20,Good,8,Good,36,Good
Brazil,32,Good,0,Good,12,Good,1,Good,32,Good
United States of America,58,Moderate,1,Good,25,Good,4,Good,58,Moderate
United States of America,53,Moderate,1,Good,32,Good,5,Good,53,Moderate
Spain,35,Good,0,Good,28,Good,1,Good,35,Good
Italy,48,Good,1,Good,48,Good,1,Good,40,Good
Denmark,35,Good,0,Good,32,Good,1,Good,35,Good
United States of America,36,Good,0,Good,21,Good,1,Good,36,Good
India,154,Unhealthy,1,Good,37,Good,0,Good,154,Unhealthy
Russian Federation,35,Good,1,Good,35,Good,0,Good,19,Good
Belgium,37,Good,0,Good,26,Good,4,Good,37,Good
France,42,Good,1,Good,24,Good,2,Good,42,Good
India,72,Moderate,0,Good,23,Good,0,Good,72,Moderate
Hungary,70,Moderate,1,Good,31,Good,2,Good,70,Moderate
Mexico,42,Good,1,Good,8,Good,4,Good,42,Good
India,144,Unhealthy for Sensitive Groups,2,Good,144,Unhealthy for Sensitive Groups,0,Good,93,Moderate
Turkey,50,Good,1,Good,40,Good,1,Good,50,Good
China,139,Unhealthy for Sensitive Groups,3,Good,135,Unhealthy for Sensitive Groups,1,Good,139,Unhealthy for Sensitive Groups
Russian Federation,42,Good,1,Good,25,Good,2,Good,42,Good
Czechia,52,Moderate,1,Good,26,Good,2,Good,52,Moderate
Colombia,38,Good,1,Good,3,Good,2,Good,38,Good
India,120,Unhealthy for Sensitive Groups,1,Good,34,Good,0,Good,120,Unhealthy for Sensitive Groups
Hungary,73,Moderate,1,Good,29,Good,3,Good,73,Moderate
France,32,Good,0,Good,32,Good,0,Good,13,Good
Brazil,13,Good,1,Good,9,Good,0,Good,13,Good
India,140,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,140,Unhealthy for Sensitive Groups
United States of America,30,Good,1,Good,22,Good,4,Good,30,Good
Russian Federation,44,Good,1,Good,25,Good,2,Good,44,Good
Mexico,50,Good,1,Good,16,Good,3,Good,50,Good
France,31,Good,1,Good,29,Good,2,Good,31,Good
United States of America,57,Moderate,1,Good,30,Good,8,Good,57,Moderate
Colombia,95,Moderate,2,Good,11,Good,5,Good,95,Moderate
Italy,62,Moderate,1,Good,38,Good,3,Good,62,Moderate
United States of America,68,Moderate,1,Good,22,Good,16,Good,68,Moderate
China,156,Unhealthy,7,Good,44,Good,17,Good,156,Unhealthy
United States of America,82,Moderate,0,Good,22,Good,0,Good,82,Moderate
Russian Federation,50,Good,1,Good,30,Good,0,Good,50,Good
Russian Federation,27,Good,1,Good,27,Good,0,Good,17,Good
China,141,Unhealthy for Sensitive Groups,3,Good,141,Unhealthy for Sensitive Groups,1,Good,114,Unhealthy for Sensitive Groups
Poland,30,Good,1,Good,30,Good,1,Good,30,Good
Russian Federation,30,Good,1,Good,30,Good,2,Good,28,Good
Russian Federation,52,Moderate,1,Good,28,Good,3,Good,52,Moderate
Russian Federation,40,Good,1,Good,35,Good,5,Good,40,Good
Netherlands,28,Good,0,Good,28,Good,2,Good,28,Good
United States of America,51,Moderate,1,Good,41,Good,2,Good,51,Moderate
United States of America,50,Good,1,Good,36,Good,4,Good,50,Good
Germany,34,Good,1,Good,27,Good,2,Good,34,Good
Netherlands,32,Good,0,Good,32,Good,2,Good,28,Good
United Kingdom of Great Britain and Northern Ireland,37,Good,1,Good,37,Good,1,Good,37,Good
Hungary,62,Moderate,1,Good,55,Moderate,0,Good,62,Moderate
India,164,Unhealthy,3,Good,79,Moderate,2,Good,164,Unhealthy
Uganda,45,Good,1,Good,19,Good,0,Good,45,Good
Germany,42,Good,1,Good,42,Good,0,Good,26,Good
South Africa,88,Moderate,2,Good,19,Good,4,Good,88,Moderate
Belgium,47,Good,1,Good,38,Good,2,Good,47,Good
India,179,Unhealthy,4,Good,95,Moderate,6,Good,179,Unhealthy
United States of America,62,Moderate,1,Good,35,Good,4,Good,62,Moderate
India,160,Unhealthy,3,Good,45,Good,2,Good,160,Unhealthy
Indonesia,194,Unhealthy,9,Good,12,Good,26,Good,194,Unhealthy
Botswana,29,Good,0,Good,29,Good,0,Good,22,Good
United States of America,118,Unhealthy for Sensitive Groups,0,Good,29,Good,0,Good,118,Unhealthy for Sensitive Groups
Latvia,34,Good,1,Good,34,Good,0,Good,22,Good
Philippines,74,Moderate,2,Good,22,Good,6,Good,74,Moderate
Ecuador,22,Good,1,Good,13,Good,1,Good,22,Good
Japan,37,Good,1,Good,37,Good,4,Good,34,Good
Kenya,52,Moderate,1,Good,20,Good,0,Good,52,Moderate
Brazil,40,Good,0,Good,19,Good,1,Good,40,Good
Zambia,27,Good,1,Good,19,Good,0,Good,27,Good
Egypt,94,Moderate,2,Good,66,Moderate,7,Good,94,Moderate
Japan,37,Good,1,Good,37,Good,2,Good,14,Good
United States of America,51,Moderate,1,Good,41,Good,3,Good,51,Moderate
Mexico,79,Moderate,1,Good,22,Good,2,Good,79,Moderate
Spain,41,Good,0,Good,41,Good,0,Good,14,Good
Canada,26,Good,1,Good,22,Good,0,Good,26,Good
Russian Federation,36,Good,1,Good,36,Good,0,Good,28,Good
India,102,Unhealthy for Sensitive Groups,2,Good,46,Good,1,Good,102,Unhealthy for Sensitive Groups
Japan,50,Good,1,Good,48,Good,2,Good,50,Good
Brazil,14,Good,1,Good,7,Good,0,Good,14,Good
United States of America,74,Moderate,2,Good,17,Good,19,Good,74,Moderate
Portugal,28,Good,1,Good,28,Good,3,Good,20,Good
France,40,Good,1,Good,33,Good,2,Good,40,Good
Italy,49,Good,1,Good,33,Good,1,Good,49,Good
United States of America,44,Good,1,Good,28,Good,4,Good,44,Good
Croatia,62,Moderate,1,Good,44,Good,1,Good,62,Moderate
Italy,68,Moderate,1,Good,47,Good,0,Good,68,Moderate
India,45,Good,1,Good,33,Good,1,Good,45,Good
United States of America,79,Moderate,2,Good,19,Good,9,Good,79,Moderate
South Africa,95,Moderate,1,Good,8,Good,11,Good,95,Moderate
Brazil,17,Good,1,Good,7,Good,1,Good,17,Good
United States of America,48,Good,1,Good,20,Good,6,Good,48,Good
Italy,54,Moderate,1,Good,48,Good,1,Good,54,Moderate
Mexico,270,Very Unhealthy,5,Good,1,Good,25,Good,270,Very Unhealthy
India,172,Unhealthy,4,Good,171,Unhealthy,1,Good,172,Unhealthy
India,109,Unhealthy for Sensitive Groups,1,Good,36,Good,0,Good,109,Unhealthy for Sensitive Groups
Cuba,78,Moderate,1,Good,15,Good,5,Good,78,Moderate
India,170,Unhealthy,4,Good,169,Unhealthy,1,Good,170,Unhealthy
Dominican Republic,159,Unhealthy,3,Good,5,Good,11,Good,159,Unhealthy
Germany,70,Moderate,1,Good,36,Good,2,Good,70,Moderate
Italy,56,Moderate,1,Good,38,Good,4,Good,56,Moderate
Benin,86,Moderate,2,Good,14,Good,2,Good,86,Moderate
France,50,Good,1,Good,30,Good,2,Good,50,Good
United States of America,60,Moderate,2,Good,25,Good,13,Good,60,Moderate
India,29,Good,0,Good,25,Good,0,Good,29,Good
Germany,66,Moderate,1,Good,33,Good,1,Good,66,Moderate
Russian Federation,60,Moderate,1,Good,33,Good,0,Good,60,Moderate
Slovakia,64,Moderate,1,Good,40,Good,0,Good,64,Moderate
Mexico,108,Unhealthy for Sensitive Groups,4,Good,5,Good,10,Good,108,Unhealthy for Sensitive Groups
Venezuela (Bolivarian Republic of),130,Unhealthy for Sensitive Groups,1,Good,16,Good,7,Good,130,Unhealthy for Sensitive Groups
France,43,Good,0,Good,28,Good,0,Good,43,Good
Japan,28,Good,1,Good,28,Good,4,Good,24,Good
South Africa,125,Unhealthy for Sensitive Groups,4,Good,9,Good,2,Good,125,Unhealthy for Sensitive Groups
Russian Federation,46,Good,1,Good,27,Good,1,Good,46,Good
Russian Federation,36,Good,1,Good,30,Good,0,Good,36,Good
Japan,60,Moderate,1,Good,51,Moderate,2,Good,60,Moderate
United States of America,52,Moderate,1,Good,15,Good,4,Good,52,Moderate
Brazil,53,Moderate,1,Good,14,Good,2,Good,53,Moderate
Pakistan,166,Unhealthy,1,Good,43,Good,0,Good,166,Unhealthy
India,160,Unhealthy,0,Good,29,Good,0,Good,160,Unhealthy
Israel,73,Moderate,1,Good,57,Moderate,1,Good,73,Moderate
France,50,Good,1,Good,24,Good,4,Good,50,Good
Germany,42,Good,1,Good,29,Good,3,Good,42,Good
United States of America,43,Good,1,Good,7,Good,11,Good,43,Good
United States of America,40,Good,1,Good,29,Good,5,Good,40,Good
Germany,32,Good,0,Good,32,Good,0,Good,31,Good
United States of America,44,Good,1,Good,44,Good,3,Good,44,Good
Australia,31,Good,0,Good,31,Good,0,Good,10,Good
United Republic of Tanzania,26,Good,0,Good,16,Good,0,Good,26,Good
Romania,62,Moderate,1,Good,38,Good,1,Good,62,Moderate
Spain,32,Good,1,Good,32,Good,1,Good,26,Good
China,26,Good,1,Good,26,Good,0,Good,21,Good
Cuba,56,Moderate,1,Good,30,Good,1,Good,56,Moderate
Zambia,43,Good,1,Good,19,Good,0,Good,43,Good
Colombia,53,Moderate,2,Good,7,Good,3,Good,53,Moderate
Germany,52,Moderate,1,Good,27,Good,3,Good,52,Moderate
United States of America,39,Good,1,Good,20,Good,2,Good,39,Good
Denmark,34,Good,0,Good,34,Good,0,Good,33,Good
Germany,34,Good,0,Good,34,Good,1,Good,31,Good
Italy,50,Good,2,Good,40,Good,7,Good,50,Good
Papua New Guinea,18,Good,0,Good,18,Good,0,Good,11,Good
Cyprus,58,Moderate,1,Good,58,Moderate,0,Good,51,Moderate
Russian Federation,49,Good,1,Good,38,Good,0,Good,49,Good
Russian Federation,36,Good,1,Good,36,Good,0,Good,28,Good
United Kingdom of Great Britain and Northern Ireland,51,Moderate,1,Good,31,Good,3,Good,51,Moderate
France,48,Good,1,Good,27,Good,4,Good,48,Good
China,55,Moderate,1,Good,45,Good,0,Good,55,Moderate
Romania,69,Moderate,1,Good,39,Good,1,Good,69,Moderate
United States of America,73,Moderate,2,Good,14,Good,21,Good,73,Moderate
France,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
India,179,Unhealthy,4,Good,150,Unhealthy,2,Good,179,Unhealthy
China,171,Unhealthy,3,Good,171,Unhealthy,2,Good,103,Unhealthy for Sensitive Groups
Ireland,29,Good,0,Good,29,Good,1,Good,18,Good
India,122,Unhealthy for Sensitive Groups,1,Good,34,Good,0,Good,122,Unhealthy for Sensitive Groups
Tunisia,56,Moderate,1,Good,54,Moderate,1,Good,56,Moderate
Argentina,41,Good,0,Good,30,Good,0,Good,41,Good
United Republic of Tanzania,19,Good,0,Good,15,Good,0,Good,19,Good
Brazil,52,Moderate,1,Good,7,Good,3,Good,52,Moderate
United States of America,68,Moderate,1,Good,16,Good,6,Good,68,Moderate
Italy,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups
Nepal,58,Moderate,2,Good,40,Good,0,Good,58,Moderate
Mexico,36,Good,1,Good,12,Good,2,Good,36,Good
India,201,Very Unhealthy,1,Good,44,Good,0,Good,201,Very Unhealthy
India,75,Moderate,2,Good,71,Moderate,1,Good,75,Moderate
Malawi,47,Good,1,Good,18,Good,0,Good,47,Good
Poland,47,Good,1,Good,38,Good,1,Good,47,Good
United States of America,50,Good,1,Good,26,Good,11,Good,50,Good
France,58,Moderate,1,Good,19,Good,6,Good,58,Moderate
India,159,Unhealthy,1,Good,32,Good,0,Good,159,Unhealthy
Germany,72,Moderate,1,Good,37,Good,2,Good,72,Moderate
Germany,75,Moderate,2,Good,22,Good,9,Good,75,Moderate
United States of America,55,Moderate,1,Good,23,Good,9,Good,55,Moderate
United States of America,62,Moderate,2,Good,11,Good,16,Good,62,Moderate
Germany,46,Good,1,Good,25,Good,4,Good,46,Good
Germany,66,Moderate,1,Good,36,Good,3,Good,66,Moderate
China,128,Unhealthy for Sensitive Groups,4,Good,69,Moderate,3,Good,128,Unhealthy for Sensitive Groups
Russian Federation,52,Moderate,1,Good,24,Good,3,Good,52,Moderate
Ukraine,46,Good,1,Good,46,Good,0,Good,7,Good
Brazil,42,Good,2,Good,1,Good,2,Good,42,Good
Serbia,76,Moderate,1,Good,40,Good,3,Good,76,Moderate
Poland,102,Unhealthy for Sensitive Groups,2,Good,26,Good,11,Good,102,Unhealthy for Sensitive Groups
Canada,50,Good,1,Good,16,Good,5,Good,50,Good
Brazil,61,Moderate,2,Good,0,Good,5,Good,61,Moderate
Brazil,21,Good,1,Good,13,Good,0,Good,21,Good
Brazil,66,Moderate,2,Good,7,Good,7,Good,66,Moderate
India,50,Good,0,Good,23,Good,0,Good,50,Good
United States of America,52,Moderate,2,Good,16,Good,20,Good,52,Moderate
India,172,Unhealthy,4,Good,172,Unhealthy,2,Good,165,Unhealthy
Poland,53,Moderate,1,Good,38,Good,2,Good,53,Moderate
United States of America,52,Moderate,0,Good,29,Good,2,Good,52,Moderate
Brazil,23,Good,0,Good,11,Good,1,Good,23,Good
Canada,28,Good,1,Good,28,Good,2,Good,20,Good
Russian Federation,36,Good,1,Good,30,Good,1,Good,36,Good
Bangladesh,158,Unhealthy,4,Good,64,Moderate,4,Good,158,Unhealthy
Colombia,58,Moderate,2,Good,0,Good,4,Good,58,Moderate
Poland,97,Moderate,2,Good,26,Good,9,Good,97,Moderate
China,205,Very Unhealthy,5,Good,205,Very Unhealthy,3,Good,152,Unhealthy
Colombia,24,Good,1,Good,6,Good,2,Good,24,Good
Thailand,73,Moderate,1,Good,33,Good,0,Good,73,Moderate
Poland,33,Good,0,Good,33,Good,0,Good,33,Good
Philippines,71,Moderate,1,Good,19,Good,0,Good,71,Moderate
India,143,Unhealthy for Sensitive Groups,2,Good,143,Unhealthy for Sensitive Groups,1,Good,142,Unhealthy for Sensitive Groups
United States of America,69,Moderate,2,Good,14,Good,21,Good,69,Moderate
United States of America,64,Moderate,2,Good,16,Good,27,Good,64,Moderate
United Republic of Tanzania,40,Good,1,Good,17,Good,0,Good,40,Good
Italy,92,Moderate,1,Good,35,Good,4,Good,92,Moderate
Latvia,55,Moderate,1,Good,32,Good,1,Good,55,Moderate
Russian Federation,37,Good,1,Good,37,Good,0,Good,15,Good
United States of America,35,Good,1,Good,18,Good,5,Good,35,Good
Russian Federation,34,Good,1,Good,34,Good,0,Good,13,Good
Afghanistan,133,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,133,Unhealthy for Sensitive Groups
Russian Federation,99,Moderate,2,Good,43,Good,0,Good,99,Moderate
Ukraine,44,Good,1,Good,44,Good,0,Good,24,Good
India,69,Moderate,1,Good,29,Good,0,Good,69,Moderate
Turkey,75,Moderate,1,Good,36,Good,0,Good,75,Moderate
Malawi,62,Moderate,1,Good,19,Good,0,Good,62,Moderate
United States of America,48,Good,1,Good,21,Good,3,Good,48,Good
United States of America,112,Unhealthy for Sensitive Groups,3,Good,6,Good,33,Good,112,Unhealthy for Sensitive Groups
Russian Federation,36,Good,1,Good,36,Good,0,Good,35,Good
Montenegro,60,Moderate,1,Good,21,Good,0,Good,60,Moderate
Brazil,19,Good,1,Good,11,Good,0,Good,19,Good
Brazil,29,Good,1,Good,3,Good,0,Good,29,Good
Canada,34,Good,1,Good,34,Good,1,Good,14,Good
Myanmar,42,Good,0,Good,22,Good,0,Good,42,Good
Central African Republic,65,Moderate,3,Good,10,Good,0,Good,65,Moderate
India,106,Unhealthy for Sensitive Groups,0,Good,24,Good,0,Good,106,Unhealthy for Sensitive Groups
Lithuania,31,Good,1,Good,28,Good,1,Good,31,Good
United States of America,62,Moderate,1,Good,45,Good,4,Good,62,Moderate
United States of America,34,Good,1,Good,32,Good,4,Good,34,Good
United States of America,52,Moderate,1,Good,27,Good,7,Good,52,Moderate
Sierra Leone,18,Good,1,Good,18,Good,0,Good,16,Good
Malaysia,162,Unhealthy,6,Good,9,Good,23,Good,162,Unhealthy
Russian Federation,53,Moderate,1,Good,7,Good,8,Good,53,Moderate
Russian Federation,40,Good,1,Good,40,Good,0,Good,11,Good
Netherlands,32,Good,0,Good,32,Good,2,Good,15,Good
Netherlands,35,Good,0,Good,35,Good,0,Good,13,Good
Philippines,60,Moderate,1,Good,24,Good,1,Good,60,Moderate
Russian Federation,66,Moderate,1,Good,18,Good,12,Good,66,Moderate
United States of America,52,Moderate,1,Good,29,Good,6,Good,52,Moderate
India,166,Unhealthy,3,Good,166,Unhealthy,1,Good,162,Unhealthy
Kenya,27,Good,0,Good,19,Good,0,Good,27,Good
United Republic of Tanzania,43,Good,1,Good,15,Good,0,Good,43,Good
Senegal,169,Unhealthy,1,Good,21,Good,2,Good,169,Unhealthy
Indonesia,76,Moderate,2,Good,37,Good,0,Good,76,Moderate
Belarus,34,Good,1,Good,34,Good,0,Good,21,Good
India,25,Good,0,Good,25,Good,0,Good,21,Good
Philippines,45,Good,1,Good,17,Good,0,Good,45,Good
Mali,53,Moderate,1,Good,14,Good,0,Good,53,Moderate
Slovenia,67,Moderate,1,Good,37,Good,1,Good,67,Moderate
United States of America,40,Good,1,Good,24,Good,1,Good,40,Good
Indonesia,88,Moderate,2,Good,86,Moderate,1,Good,88,Moderate
Poland,55,Moderate,1,Good,36,Good,1,Good,55,Moderate
Czechia,36,Good,1,Good,28,Good,2,Good,36,Good
Indonesia,91,Moderate,2,Good,46,Good,1,Good,91,Moderate
Guatemala,129,Unhealthy for Sensitive Groups,4,Good,2,Good,14,Good,129,Unhealthy for Sensitive Groups
Russian Federation,40,Good,1,Good,40,Good,0,Good,25,Good
United Republic of Tanzania,51,Moderate,1,Good,18,Good,0,Good,51,Moderate
France,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
Netherlands,63,Moderate,1,Good,28,Good,6,Good,63,Moderate
Latvia,32,Good,1,Good,32,Good,0,Good,28,Good
India,158,Unhealthy,3,Good,28,Good,3,Good,158,Unhealthy
Russian Federation,37,Good,1,Good,37,Good,1,Good,22,Good
United States of America,44,Good,1,Good,34,Good,3,Good,44,Good
United States of America,57,Moderate,2,Good,13,Good,17,Good,57,Moderate
Indonesia,69,Moderate,1,Good,41,Good,1,Good,69,Moderate
Russian Federation,42,Good,1,Good,42,Good,0,Good,33,Good
India,167,Unhealthy,4,Good,153,Unhealthy,1,Good,167,Unhealthy
Russian Federation,40,Good,1,Good,36,Good,0,Good,40,Good
United States of America,55,Moderate,1,Good,28,Good,9,Good,55,Moderate
Brazil,35,Good,0,Good,8,Good,2,Good,35,Good
Brazil,25,Good,0,Good,20,Good,1,Good,25,Good
India,54,Moderate,1,Good,27,Good,0,Good,54,Moderate
France,38,Good,1,Good,38,Good,2,Good,33,Good
India,33,Good,1,Good,30,Good,0,Good,33,Good
South Africa,85,Moderate,2,Good,14,Good,8,Good,85,Moderate
China,153,Unhealthy,4,Good,153,Unhealthy,3,Good,143,Unhealthy for Sensitive Groups
Mexico,69,Moderate,2,Good,6,Good,7,Good,69,Moderate
Italy,46,Good,1,Good,46,Good,1,Good,35,Good
India,156,Unhealthy,1,Good,45,Good,0,Good,156,Unhealthy
Brazil,17,Good,0,Good,17,Good,0,Good,15,Good
Germany,28,Good,1,Good,28,Good,2,Good,26,Good
Turkey,49,Good,1,Good,49,Good,2,Good,36,Good
Belgium,35,Good,1,Good,32,Good,3,Good,35,Good
Germany,36,Good,1,Good,36,Good,1,Good,32,Good
France,38,Good,1,Good,23,Good,2,Good,38,Good
Brazil,41,Good,1,Good,13,Good,1,Good,41,Good
Czechia,30,Good,0,Good,28,Good,2,Good,30,Good
India,50,Good,1,Good,25,Good,0,Good,50,Good
Canada,32,Good,1,Good,31,Good,1,Good,32,Good
Russian Federation,51,Moderate,1,Good,40,Good,0,Good,51,Moderate
Brazil,51,Moderate,1,Good,4,Good,4,Good,51,Moderate
Brazil,39,Good,1,Good,11,Good,1,Good,39,Good
Czechia,46,Good,1,Good,30,Good,1,Good,46,Good
Germany,31,Good,1,Good,31,Good,1,Good,26,Good
United States of America,43,Good,1,Good,32,Good,8,Good,43,Good
Mexico,164,Unhealthy,2,Good,3,Good,12,Good,164,Unhealthy
Libya,69,Moderate,1,Good,69,Moderate,1,Good,66,Moderate
France,51,Moderate,1,Good,21,Good,5,Good,51,Moderate
United States of America,31,Good,0,Good,25,Good,1,Good,31,Good
Japan,49,Good,1,Good,36,Good,4,Good,49,Good
United States of America,78,Moderate,3,Good,1,Good,28,Good,78,Moderate
United Republic of Tanzania,40,Good,0,Good,17,Good,0,Good,40,Good
United States of America,43,Good,1,Good,29,Good,8,Good,43,Good
Russian Federation,28,Good,0,Good,28,Good,0,Good,15,Good
Madagascar,25,Good,0,Good,25,Good,0,Good,18,Good
Japan,42,Good,1,Good,42,Good,1,Good,38,Good
Guinea,32,Good,1,Good,16,Good,0,Good,32,Good
China,101,Unhealthy for Sensitive Groups,2,Good,101,Unhealthy for Sensitive Groups,2,Good,79,Moderate
United States of America,64,Moderate,1,Good,15,Good,10,Good,64,Moderate
United States of America,46,Good,1,Good,21,Good,2,Good,46,Good
Germany,35,Good,1,Good,35,Good,2,Good,24,Good
Republic of Moldova,55,Moderate,1,Good,41,Good,0,Good,55,Moderate
Kenya,57,Moderate,1,Good,25,Good,0,Good,57,Moderate
Kenya,55,Moderate,2,Good,31,Good,0,Good,55,Moderate
Poland,31,Good,0,Good,31,Good,1,Good,30,Good
Russian Federation,38,Good,1,Good,34,Good,0,Good,38,Good
Brazil,40,Good,1,Good,1,Good,4,Good,40,Good
India,87,Moderate,0,Good,28,Good,0,Good,87,Moderate
Japan,38,Good,1,Good,38,Good,2,Good,31,Good
Russian Federation,29,Good,0,Good,29,Good,0,Good,23,Good
South Africa,121,Unhealthy for Sensitive Groups,19,Good,19,Good,13,Good,121,Unhealthy for Sensitive Groups
Central African Republic,86,Moderate,2,Good,9,Good,0,Good,86,Moderate
Japan,39,Good,1,Good,39,Good,0,Good,18,Good
Pakistan,167,Unhealthy,1,Good,47,Good,1,Good,167,Unhealthy
Thailand,47,Good,0,Good,30,Good,0,Good,47,Good
Italy,57,Moderate,1,Good,42,Good,2,Good,57,Moderate
Portugal,27,Good,0,Good,27,Good,2,Good,22,Good
Nigeria,66,Moderate,2,Good,21,Good,0,Good,66,Moderate
China,132,Unhealthy for Sensitive Groups,2,Good,132,Unhealthy for Sensitive Groups,2,Good,78,Moderate
United States of America,95,Moderate,1,Good,23,Good,10,Good,95,Moderate
Thailand,57,Moderate,1,Good,27,Good,1,Good,57,Moderate
Pakistan,328,Hazardous,2,Good,107,Unhealthy for Sensitive Groups,1,Good,328,Hazardous
Brazil,62,Moderate,2,Good,8,Good,5,Good,62,Moderate
Russian Federation,36,Good,1,Good,36,Good,0,Good,23,Good
United Kingdom of Great Britain and Northern Ireland,32,Good,0,Good,32,Good,2,Good,22,Good
Indonesia,42,Good,1,Good,26,Good,0,Good,42,Good
United States of America,47,Good,1,Good,36,Good,4,Good,47,Good
United States of America,91,Moderate,1,Good,31,Good,2,Good,91,Moderate
United States of America,45,Good,1,Good,45,Good,3,Good,34,Good
United States of America,118,Unhealthy for Sensitive Groups,4,Good,12,Good,34,Good,118,Unhealthy for Sensitive Groups
Romania,63,Moderate,1,Good,40,Good,0,Good,63,Moderate
Switzerland,80,Moderate,1,Good,33,Good,1,Good,80,Moderate
United States of America,50,Good,1,Good,39,Good,3,Good,50,Good
Jordan,78,Moderate,1,Good,48,Good,3,Good,78,Moderate
Pakistan,171,Unhealthy,1,Good,49,Good,1,Good,171,Unhealthy
Sweden,38,Good,1,Good,28,Good,0,Good,38,Good
Canada,32,Good,1,Good,32,Good,0,Good,16,Good
Brazil,23,Good,0,Good,16,Good,0,Good,23,Good
Peru,20,Good,1,Good,2,Good,0,Good,20,Good
Indonesia,72,Moderate,2,Good,42,Good,0,Good,72,Moderate
Georgia,36,Good,1,Good,35,Good,0,Good,36,Good
United States of America,119,Unhealthy for Sensitive Groups,4,Good,15,Good,35,Good,119,Unhealthy for Sensitive Groups
India,23,Good,1,Good,20,Good,0,Good,23,Good
Netherlands,37,Good,1,Good,31,Good,2,Good,37,Good
India,158,Unhealthy,1,Good,33,Good,1,Good,158,Unhealthy
Mexico,182,Unhealthy,2,Good,18,Good,10,Good,182,Unhealthy
India,226,Very Unhealthy,2,Good,126,Unhealthy for Sensitive Groups,1,Good,226,Very Unhealthy
Slovakia,71,Moderate,1,Good,37,Good,1,Good,71,Moderate
Democratic Republic of the Congo,70,Moderate,1,Good,22,Good,0,Good,70,Moderate
Georgia,32,Good,1,Good,32,Good,0,Good,21,Good
Austria,63,Moderate,1,Good,40,Good,1,Good,63,Moderate
Turkmenistan,60,Moderate,1,Good,47,Good,0,Good,60,Moderate
Germany,35,Good,0,Good,35,Good,0,Good,33,Good
Russian Federation,25,Good,1,Good,25,Good,2,Good,23,Good
South Africa,100,Unhealthy for Sensitive Groups,4,Good,8,Good,7,Good,100,Unhealthy for Sensitive Groups
India,170,Unhealthy,1,Good,33,Good,1,Good,170,Unhealthy
Pakistan,172,Unhealthy,1,Good,76,Moderate,2,Good,172,Unhealthy
Poland,79,Moderate,1,Good,36,Good,3,Good,79,Moderate
United States of America,57,Moderate,1,Good,30,Good,1,Good,57,Moderate
India,57,Moderate,1,Good,30,Good,0,Good,57,Moderate
United States of America,36,Good,1,Good,36,Good,1,Good,27,Good
China,155,Unhealthy,3,Good,155,Unhealthy,3,Good,117,Unhealthy for Sensitive Groups
Serbia,54,Moderate,1,Good,30,Good,0,Good,54,Moderate
Belgium,49,Good,1,Good,24,Good,5,Good,49,Good
Colombia,52,Moderate,1,Good,6,Good,3,Good,52,Moderate
Colombia,54,Moderate,1,Good,18,Good,1,Good,54,Moderate
Germany,33,Good,1,Good,33,Good,2,Good,29,Good
Italy,46,Good,1,Good,46,Good,1,Good,37,Good
France,34,Good,1,Good,20,Good,4,Good,34,Good
Spain,52,Moderate,1,Good,33,Good,6,Good,52,Moderate
United States of America,56,Moderate,1,Good,46,Good,4,Good,56,Moderate
United States of America,53,Moderate,2,Good,15,Good,21,Good,53,Moderate
United States of America,51,Moderate,1,Good,22,Good,10,Good,51,Moderate
Mexico,29,Good,1,Good,19,Good,0,Good,29,Good
Myanmar,31,Good,1,Good,27,Good,0,Good,31,Good
India,63,Moderate,1,Good,35,Good,0,Good,63,Moderate
India,66,Moderate,1,Good,26,Good,0,Good,66,Moderate
Germany,76,Moderate,1,Good,32,Good,3,Good,76,Moderate
Brazil,33,Good,1,Good,13,Good,1,Good,33,Good
Germany,46,Good,1,Good,26,Good,3,Good,46,Good
Germany,64,Moderate,1,Good,34,Good,1,Good,64,Moderate
Mozambique,23,Good,0,Good,23,Good,0,Good,19,Good
Brazil,71,Moderate,2,Good,7,Good,7,Good,71,Moderate
Germany,76,Moderate,1,Good,31,Good,3,Good,76,Moderate
Australia,31,Good,0,Good,28,Good,0,Good,31,Good
Ecuador,39,Good,1,Good,16,Good,3,Good,39,Good
Botswana,59,Moderate,1,Good,20,Good,1,Good,59,Moderate
India,160,Unhealthy,0,Good,25,Good,0,Good,160,Unhealthy
India,142,Unhealthy for Sensitive Groups,2,Good,142,Unhealthy for Sensitive Groups,1,Good,119,Unhealthy for Sensitive Groups
United States of America,66,Moderate,2,Good,15,Good,20,Good,66,Moderate
United States of America,60,Moderate,2,Good,19,Good,18,Good,60,Moderate
